gene name,hyb1,hyb2,hyb3,hyb4
fake216,4,5,5,5.0
fake217,4,5,6,6.0
fake218,4,5,8,8.0
fake219,4,5,9,9.0
fake220,4,6,2,3.0
fake221,4,6,3,4.0
fake222,4,6,4,5.0
fake223,4,6,5,6.0
fake224,4,6,8,9.0
fake225,4,6,9,1.0
fake226,4,7,1,3.0
fake227,4,7,2,4.0
fake228,4,7,3,5.0
fake229,4,7,4,6.0
fake230,4,7,5,7.0
fake231,4,7,6,8.0
fake232,4,7,7,9.0
fake233,4,7,8,1.0
fake234,4,7,9,2.0
fake235,4,8,1,4.0
fake236,4,8,3,6.0
fake237,4,8,4,7.0
fake238,4,8,5,8.0
fake239,4,8,6,9.0
fake240,4,8,7,1.0
fake241,4,8,8,2.0
fake242,4,8,9,3.0
fake243,4,9,1,5.0
fake244,4,9,2,6.0
fake245,4,9,3,7.0
fake246,4,9,4,8.0
fake247,4,9,5,9.0
fake248,4,9,6,1.0
fake249,4,9,7,2.0
fake250,4,9,8,3.0
fake251,4,9,9,4.0
fake252,5,1,1,7.0
fake253,5,1,2,8.0
fake254,5,1,3,9.0
fake255,5,1,4,1.0
fake256,5,1,5,2.0
fake257,5,1,6,3.0
fake258,5,1,7,4.0
fake259,5,1,9,6.0
fake260,5,2,1,8.0
fake261,5,2,2,9.0
fake262,5,2,3,1.0
fake263,5,2,4,2.0
fake264,5,2,5,3.0
fake265,5,2,6,4.0
fake266,5,2,7,5.0
fake267,5,2,8,6.0
fake268,5,3,1,9.0
fake269,5,3,3,2.0
fake270,5,3,4,3.0
fake271,5,3,5,4.0
fake272,5,3,6,5.0
fake273,5,3,7,6.0
fake274,5,3,9,8.0
fake275,5,4,2,2.0
fake276,5,4,3,3.0
fake277,5,4,4,4.0
fake278,5,4,5,5.0
fake279,5,4,6,6.0
fake280,5,4,7,7.0
fake281,5,4,8,8.0
fake282,5,4,9,9.0
fake283,5,5,1,2.0
fake284,5,5,2,3.0
fake285,5,5,3,4.0
fake286,5,5,4,5.0
fake287,5,5,5,6.0
fake288,5,5,6,7.0
fake289,5,5,7,8.0
fake290,5,5,8,9.0
fake291,5,6,1,3.0
fake292,5,6,2,4.0
fake293,5,6,3,5.0
fake294,5,6,4,6.0
fake295,5,6,5,7.0
fake296,5,6,7,9.0
fake297,5,6,8,1.0
fake298,5,6,9,2.0
fake299,5,7,1,4.0
fake300,5,7,2,5.0
fake301,5,7,3,6.0
fake302,5,7,4,7.0
fake303,5,7,5,8.0
fake304,5,7,7,1.0
fake305,5,7,9,3.0
fake306,5,8,2,6.0
fake307,5,8,3,7.0
fake308,5,8,4,8.0
fake309,5,8,5,9.0
fake310,5,8,8,3.0
fake311,5,8,9,4.0
fake312,5,9,2,7.0
fake313,5,9,4,9.0
fake314,5,9,5,1.0
fake315,5,9,6,2.0
fake316,5,9,7,3.0
fake317,5,9,8,4.0
fake318,6,1,1,8.0
fake319,6,1,3,1.0
fake320,6,1,4,2.0
fake321,6,1,5,3.0
fake322,6,1,6,4.0
fake323,6,1,7,5.0
fake324,6,1,8,6.0
fake325,6,2,1,9.0
fake326,6,2,2,1.0
fake327,6,2,3,2.0
fake328,6,2,4,3.0
fake329,6,2,6,5.0
fake330,6,2,7,6.0
fake331,6,2,8,7.0
fake332,6,2,9,8.0
fake333,6,3,1,1.0
fake334,6,3,2,2.0
fake335,6,3,3,3.0
fake336,6,3,5,5.0
fake337,6,3,6,6.0
fake338,6,3,7,7.0
fake339,6,3,9,9.0
fake340,6,4,1,2.0
fake341,6,4,3,4.0
fake342,6,4,4,5.0
fake343,6,4,5,6.0
fake344,6,4,6,7.0
fake345,6,4,7,8.0
fake346,6,4,9,1.0
fake347,6,5,1,3.0
fake348,6,5,2,4.0
fake349,6,5,3,5.0
fake350,6,5,5,7.0
fake351,6,5,6,8.0
fake352,6,5,7,9.0
fake353,6,5,8,1.0
fake354,6,6,2,5.0
fake355,6,6,4,7.0
fake356,6,6,5,8.0
fake357,6,6,6,9.0
fake358,6,6,7,1.0
fake359,6,6,9,3.0
fake360,6,7,2,6.0
fake361,6,7,3,7.0
fake362,6,7,4,8.0
fake363,6,7,5,9.0
fake364,6,7,6,1.0
fake365,6,7,8,3.0
fake366,6,7,9,4.0
fake367,6,8,1,6.0
fake368,6,8,2,7.0
fake369,6,8,3,8.0
fake370,6,8,4,9.0
fake371,6,8,6,2.0
fake372,6,8,7,3.0
fake373,6,8,8,4.0
fake374,6,9,1,7.0
fake375,6,9,2,8.0
fake376,6,9,3,9.0
fake377,6,9,4,1.0
fake378,6,9,5,2.0
fake379,6,9,6,3.0
fake380,6,9,7,4.0
fake381,6,9,8,5.0
fake382,7,1,1,9.0
fake383,7,1,2,1.0
fake384,7,1,3,2.0
fake385,7,1,4,3.0
fake386,7,1,5,4.0
fake387,7,1,7,6.0
fake388,7,1,8,7.0
fake389,7,2,1,1.0
fake390,7,2,2,2.0
fake391,7,2,3,3.0
fake392,7,2,4,4.0
fake393,7,2,5,5.0
fake394,7,2,6,6.0
fake395,7,2,7,7.0
fake396,7,2,8,8.0
fake397,7,2,9,9.0
fake398,7,3,2,3.0
fake399,7,3,3,4.0
fake400,7,3,4,5.0
fake401,7,3,5,6.0
fake402,7,3,6,7.0
fake403,7,3,7,8.0
fake404,7,3,8,9.0
fake405,7,3,9,1.0
fake406,7,4,4,6.0
fake407,7,4,5,7.0
fake408,7,4,6,8.0
fake409,7,4,8,1.0
fake410,7,4,9,2.0
fake411,7,5,1,4.0
fake412,7,5,2,5.0
fake413,7,5,5,8.0
fake414,7,5,6,9.0
fake415,7,5,7,1.0
fake416,7,5,8,2.0
fake417,7,5,9,3.0
fake418,7,6,1,5.0
fake419,7,6,2,6.0
fake420,7,6,3,7.0
fake421,7,6,4,8.0
fake422,7,6,5,9.0
fake423,7,6,6,1.0
fake424,7,6,7,2.0
fake425,7,6,8,3.0
fake426,7,7,1,6.0
fake427,7,7,5,1.0
fake428,7,7,6,2.0
fake429,7,7,7,3.0
fake430,7,7,8,4.0
fake431,7,7,9,5.0
fake432,7,8,1,7.0
fake433,7,8,2,8.0
fake434,7,8,3,9.0
fake435,7,8,4,1.0
fake436,7,8,5,2.0
fake437,7,8,7,4.0
fake438,7,8,8,5.0
fake439,7,8,9,6.0
fake440,7,9,1,8.0
fake441,7,9,3,1.0
fake442,7,9,4,2.0
fake443,7,9,5,3.0
fake444,7,9,6,4.0
fake445,7,9,8,6.0
fake446,7,9,9,7.0
fake447,8,1,1,1.0
fake448,8,1,2,2.0
fake449,8,1,3,3.0
fake450,8,1,6,6.0
fake451,8,1,7,7.0
fake452,8,1,8,8.0
fake453,8,2,1,2.0
fake454,8,2,2,3.0
fake455,8,2,3,4.0
fake456,8,2,4,5.0
fake457,8,2,6,7.0
fake458,8,2,8,9.0
fake459,8,2,9,1.0
fake460,8,3,1,3.0
fake461,8,3,3,5.0
fake462,8,3,4,6.0
fake463,8,3,5,7.0
fake464,8,3,6,8.0
fake465,8,3,7,9.0
fake466,8,3,8,1.0
fake467,8,3,9,2.0
fake468,8,4,1,4.0
fake469,8,4,2,5.0
fake470,8,4,3,6.0
fake471,8,4,5,8.0
fake472,8,4,6,9.0
fake473,8,4,7,1.0
fake474,8,4,8,2.0
fake475,8,5,1,5.0
fake476,8,5,3,7.0
fake477,8,5,4,8.0
fake478,8,5,5,9.0
fake479,8,5,6,1.0
fake480,8,5,7,2.0
fake481,8,5,8,3.0
fake482,8,5,9,4.0
fake483,8,6,2,7.0
fake484,8,6,5,1.0
fake485,8,6,6,2.0
fake486,8,6,8,4.0
fake487,8,6,9,5.0
fake488,8,7,1,7.0
fake489,8,7,2,8.0
fake490,8,7,3,9.0
fake491,8,7,4,1.0
fake492,8,7,5,2.0
fake493,8,7,9,6.0
fake494,8,8,1,8.0
fake495,8,8,2,9.0
fake496,8,8,4,2.0
fake497,8,8,7,5.0
fake498,8,8,8,6.0
fake499,8,9,1,9.0
fake500,8,9,2,1.0
fake501,8,9,4,3.0
fake502,8,9,5,4.0
fake503,8,9,6,5.0
fake504,8,9,9,8.0
fake505,9,1,2,3.0
fake506,9,1,4,5.0
fake507,9,1,5,6.0
fake508,9,1,6,7.0
fake509,9,1,7,8.0
fake510,9,1,8,9.0
fake511,9,1,9,1.0
fake512,9,2,1,3.0
fake513,9,2,2,4.0
fake514,9,2,3,5.0
fake515,9,2,5,7.0
fake516,9,2,6,8.0
fake517,9,2,8,1.0
fake518,9,2,9,2.0
fake519,9,3,1,4.0
fake520,9,3,3,6.0
fake521,9,3,4,7.0
fake522,9,3,6,9.0
fake523,9,3,7,1.0
fake524,9,3,8,2.0
fake525,9,3,9,3.0
fake526,9,4,1,5.0
fake527,9,4,2,6.0
fake528,9,4,4,8.0
fake529,9,4,5,9.0
fake530,9,4,6,1.0
fake531,9,4,7,2.0
fake532,9,4,8,3.0
fake533,9,4,9,4.0
fake534,9,5,1,6.0
fake535,9,5,2,7.0
fake536,9,5,3,8.0
fake537,9,5,4,9.0
fake538,9,5,5,1.0
fake539,9,5,6,2.0
fake540,9,5,7,3.0
fake541,9,5,8,4.0
fake542,9,5,9,5.0
fake543,9,6,2,8.0
fake544,9,6,3,9.0
fake545,9,6,4,1.0
fake546,9,6,5,2.0
fake547,9,6,6,3.0
fake548,9,6,7,4.0
fake549,9,6,8,5.0
fake550,9,7,1,8.0
fake551,9,7,2,9.0
fake552,9,7,4,2.0
fake553,9,7,5,3.0
fake554,9,7,6,4.0
fake555,9,7,8,6.0
fake556,9,7,9,7.0
fake557,9,8,3,2.0
fake558,9,8,4,3.0
fake559,9,8,7,6.0
fake560,9,8,8,7.0
fake561,9,9,1,1.0
fake562,9,9,4,4.0
fake563,9,9,7,7.0
fake564,9,9,8,8.0
fake565,9,9,9,9.0
