gene name,hyb1,hyb2,hyb3,hyb4
fake0,1,1,1,3.0
fake1,1,1,3,5.0
fake2,1,1,4,6.0
fake3,1,1,5,7.0
fake4,1,1,6,8.0
fake5,1,1,7,9.0
fake6,1,1,8,1.0
fake7,1,1,9,2.0
fake8,1,2,2,5.0
fake9,1,2,3,6.0
fake10,1,2,5,8.0
fake11,1,2,7,1.0
fake12,1,2,8,2.0
fake13,1,3,2,6.0
fake14,1,3,4,8.0
fake15,1,3,5,9.0
fake16,1,3,6,1.0
fake17,1,3,8,3.0
fake18,1,3,9,4.0
fake19,1,4,1,6.0
fake20,1,4,2,7.0
fake21,1,4,3,8.0
fake22,1,4,4,9.0
fake23,1,4,5,1.0
fake24,1,4,6,2.0
fake25,1,4,7,3.0
fake26,1,4,8,4.0
fake27,1,5,2,8.0
fake28,1,5,3,9.0
fake29,1,5,4,1.0
fake30,1,5,5,2.0
fake31,1,5,6,3.0
fake32,1,5,8,5.0
fake33,1,5,9,6.0
fake34,1,6,1,8.0
fake35,1,6,3,1.0
fake36,1,6,5,3.0
fake37,1,6,6,4.0
fake38,1,6,8,6.0
fake39,1,6,9,7.0
fake40,1,7,1,9.0
fake41,1,7,2,1.0
fake42,1,7,3,2.0
fake43,1,7,6,5.0
fake44,1,8,1,1.0
fake45,1,8,2,2.0
fake46,1,8,3,3.0
fake47,1,8,6,6.0
fake48,1,8,8,8.0
fake49,1,9,1,2.0
fake50,1,9,2,3.0
fake51,1,9,3,4.0
fake52,1,9,4,5.0
fake53,1,9,6,7.0
fake54,1,9,8,9.0
fake55,1,9,9,1.0
fake56,2,1,1,4.0
fake57,2,1,2,5.0
fake58,2,1,5,8.0
fake59,2,1,8,2.0
fake60,2,1,9,3.0
fake61,2,2,2,6.0
fake62,2,2,3,7.0
fake63,2,2,4,8.0
fake64,2,2,5,9.0
fake65,2,2,7,2.0
fake66,2,2,8,3.0
fake67,2,2,9,4.0
fake68,2,3,1,6.0
fake69,2,3,2,7.0
fake70,2,3,3,8.0
fake71,2,3,4,9.0
fake72,2,3,5,1.0
fake73,2,3,7,3.0
fake74,2,3,8,4.0
fake75,2,4,1,7.0
fake76,2,4,2,8.0
fake77,2,4,5,2.0
fake78,2,4,6,3.0
fake79,2,4,8,5.0
fake80,2,4,9,6.0
fake81,2,5,1,8.0
fake82,2,5,2,9.0
fake83,2,5,3,1.0
fake84,2,5,8,6.0
fake85,2,5,9,7.0
fake86,2,6,1,9.0
fake87,2,6,2,1.0
fake88,2,6,3,2.0
fake89,2,6,4,3.0
fake90,2,6,5,4.0
fake91,2,6,6,5.0
fake92,2,6,7,6.0
fake93,2,6,8,7.0
fake94,2,6,9,8.0
fake95,2,7,2,2.0
fake96,2,7,4,4.0
fake97,2,7,5,5.0
fake98,2,7,6,6.0
fake99,2,7,7,7.0
fake100,2,7,8,8.0
fake101,2,8,1,2.0
fake102,2,8,2,3.0
fake103,2,8,3,4.0
fake104,2,8,4,5.0
fake105,2,8,5,6.0
fake106,2,8,6,7.0
fake107,2,8,7,8.0
fake108,2,8,8,9.0
fake109,2,9,1,3.0
fake110,2,9,2,4.0
fake111,2,9,3,5.0
fake112,2,9,4,6.0
fake113,2,9,5,7.0
fake114,2,9,7,9.0
fake115,2,9,8,1.0
fake116,2,9,9,2.0
fake117,3,1,1,5.0
fake118,3,1,3,7.0
fake119,3,1,5,9.0
fake120,3,1,6,1.0
fake121,3,1,7,2.0
fake122,3,1,8,3.0
fake123,3,1,9,4.0
fake124,3,2,1,6.0
fake125,3,2,2,7.0
fake126,3,2,3,8.0
fake127,3,2,4,9.0
fake128,3,2,5,1.0
fake129,3,2,8,4.0
fake130,3,2,9,5.0
fake131,3,3,1,7.0
fake132,3,3,2,8.0
fake133,3,3,3,9.0
fake134,3,3,4,1.0
fake135,3,3,5,2.0
fake136,3,3,8,5.0
fake137,3,3,9,6.0
fake138,3,4,1,8.0
fake139,3,4,3,1.0
fake140,3,4,5,3.0
fake141,3,4,7,5.0
fake142,3,4,8,6.0
fake143,3,4,9,7.0
fake144,3,5,1,9.0
fake145,3,5,2,1.0
fake146,3,5,3,2.0
fake147,3,5,4,3.0
fake148,3,5,5,4.0
fake149,3,5,6,5.0
fake150,3,5,7,6.0
fake151,3,5,8,7.0
fake152,3,6,1,1.0
fake153,3,6,2,2.0
fake154,3,6,3,3.0
fake155,3,6,4,4.0
fake156,3,6,5,5.0
fake157,3,6,6,6.0
fake158,3,6,7,7.0
fake159,3,6,8,8.0
fake160,3,6,9,9.0
fake161,3,7,1,2.0
fake162,3,7,2,3.0
fake163,3,7,3,4.0
fake164,3,7,4,5.0
fake165,3,7,6,7.0
fake166,3,7,7,8.0
fake167,3,7,8,9.0
fake168,3,8,1,3.0
fake169,3,8,2,4.0
fake170,3,8,3,5.0
fake171,3,8,4,6.0
fake172,3,8,6,8.0
fake173,3,8,7,9.0
fake174,3,8,8,1.0
fake175,3,8,9,2.0
fake176,3,9,1,4.0
fake177,3,9,2,5.0
fake178,3,9,3,6.0
fake179,3,9,4,7.0
fake180,3,9,5,8.0
fake181,3,9,7,1.0
fake182,3,9,8,2.0
fake183,3,9,9,3.0
fake184,4,1,1,6.0
fake185,4,1,2,7.0
fake186,4,1,3,8.0
fake187,4,1,4,9.0
fake188,4,1,5,1.0
fake189,4,1,7,3.0
fake190,4,1,8,4.0
fake191,4,1,9,5.0
fake192,4,2,1,7.0
fake193,4,2,2,8.0
fake194,4,2,4,1.0
fake195,4,2,5,2.0
fake196,4,2,6,3.0
fake197,4,2,7,4.0
fake198,4,2,8,5.0
fake199,4,2,9,6.0
fake200,4,3,2,9.0
fake201,4,3,4,2.0
fake202,4,3,5,3.0
fake203,4,3,6,4.0
fake204,4,3,9,7.0
fake205,4,4,1,9.0
fake206,4,4,2,1.0
fake207,4,4,3,2.0
fake208,4,4,4,3.0
fake209,4,4,5,4.0
fake210,4,4,6,5.0
fake211,4,4,7,6.0
fake212,4,4,8,7.0
fake213,4,4,9,8.0
fake214,4,5,1,1.0
fake215,4,5,4,4.0
