gene name,hyb1,hyb2,hyb3,hyb4
fake226,9,5,4,9.0
fake227,9,5,7,3.0
fake228,9,5,8,4.0
fake229,9,5,9,5.0
fake230,9,6,5,2.0
fake231,9,7,1,8.0
fake232,9,7,2,9.0
fake233,9,7,9,7.0
fake234,9,8,3,2.0
fake235,9,9,1,1.0
fake236,9,9,7,7.0
fake237,9,9,9,9.0
